sale_id,amount,product,region_code
1,335.32,Gadget B,SE-17
2,403.69,Gadget B,SE-17
3,228.53,Device D,SE-17
4,210.23,Device D,SE-17
5,286.95,Gadget B,SE-17
6,333.15,Tool C,SE-17
7,345.52,Gadget B,SE-17
8,157.53,Widget A,SE-17
9,124.18,Tool C,SE-17
10,382.23,Widget A,SE-17
11,439.93,Device D,SE-17
12,463.96,Widget A,SE-17
13,166.34,Device D,SE-17
14,344.8,Tool C,SE-17
15,215.87,Gadget B,SE-17
16,488.58,Tool C,SE-17
17,93.18,Widget A,SE-17
18,242.44,Tool C,SE-17
19,458.86,Gadget B,SE-17
20,432.32,Widget A,SE-17
21,190.24,Widget A,SE-17
22,314.52,Widget A,SE-17
23,75.55,Device D,SE-17
24,220.36,Widget A,SE-17
25,442.75,Device D,SE-17
26,329.39,Device D,SE-17
27,17.2,Gadget B,SE-17
28,456.62,Tool C,SE-17
29,253.4,Device D,SE-17
30,232.88,Tool C,SE-17
31,120.8,Gadget B,SE-17
32,159.15,Widget A,SE-17
33,105.9,Gadget B,SE-17
34,366.94,Gadget B,SE-17
35,48.25,Tool C,SE-17
36,441.87,Tool C,SE-17
37,304.47,Gadget B,SE-17
38,344.13,Tool C,SE-17
39,476.71,Gadget B,SE-17
40,354.58,Gadget B,SE-17
41,94.39,Widget A,SE-17
42,194.11,Widget A,SE-17
43,268.35,Tool C,SE-17
44,442.0,Device D,SE-17
45,11.9,Tool C,SE-17
46,357.68,Device D,SE-17
47,122.93,Device D,SE-17
48,358.81,Widget A,SE-17
49,351.61,Device D,SE-17
50,146.04,Device D,SE-17
51,491.14,Gadget B,SE-17
52,40.92,Widget A,SE-17
53,352.65,Tool C,SE-17
54,73.27,Tool C,SE-17
55,278.46,Device D,SE-17
56,129.68,Device D,SE-17
57,171.35,Widget A,SE-17
58,100.63,Device D,SE-17
59,60.4,Gadget B,SE-17
60,333.66,Device D,SE-17
61,391.58,Widget A,SE-17
62,114.38,Gadget B,SE-17
63,467.19,Tool C,SE-17
64,88.25,Gadget B,SE-17
65,388.9,Device D,SE-17
66,264.22,Gadget B,SE-17
67,331.18,Device D,SE-17
68,100.72,Device D,SE-17
69,96.1,Gadget B,SE-17
70,420.47,Widget A,SE-17
71,378.29,Device D,SE-17
72,156.54,Device D,SE-17
73,344.28,Device D,SE-17
74,425.09,Tool C,SE-17
75,498.08,Widget A,SE-17
76,374.41,Gadget B,SE-17
77,174.01,Widget A,SE-17
78,471.11,Tool C,SE-17
79,277.71,Device D,SE-17
80,363.52,Gadget B,SE-17
81,490.26,Device D,SE-17
82,150.38,Tool C,SE-17
83,177.68,Device D,SE-17
84,101.66,Tool C,SE-17
85,16.22,Widget A,SE-17
86,305.73,Widget A,SE-17
87,70.82,Widget A,SE-17
88,454.32,Gadget B,SE-17
89,90.77,Widget A,SE-17
90,360.59,Tool C,SE-17
91,305.94,Widget A,SE-17
92,216.93,Widget A,SE-17
93,399.27,Gadget B,SE-17
94,120.7,Device D,SE-17
95,331.68,Tool C,SE-17
96,378.65,Tool C,SE-17
97,158.17,Tool C,SE-17
98,421.06,Device D,SE-17
99,126.96,Tool C,SE-17
100,126.26,Tool C,SE-17
