transaction_id,amount,region_code,timestamp
TXN00032,375.53,MW-88,2026-07-20T12:00:00Z
TXN00033,38.57,MW-88,2026-07-20T12:00:00Z
TXN00017,356.2,MW-88,2026-07-20T12:00:00Z
TXN00036,320.88,MW-88,2026-07-20T12:00:00Z
TXN00079,302.36,MW-88,2026-07-20T12:00:00Z
TXN00094,208.23,MW-88,2026-07-20T12:00:00Z
TXN00016,217.4,MW-88,2026-07-20T12:00:00Z
TXN00011,334.71,MW-88,2026-07-20T12:00:00Z
TXN00019,32.85,MW-88,2026-07-20T12:00:00Z
TXN00092,216.17,MW-88,2026-07-20T12:00:00Z
TXN00055,441.71,MW-88,2026-07-20T12:00:00Z
TXN00077,361.25,MW-88,2026-07-20T12:00:00Z
TXN00088,128.12,MW-88,2026-07-20T12:00:00Z
TXN00067,112.58,MW-88,2026-07-20T12:00:00Z
TXN00005,202.44,MW-88,2026-07-20T12:00:00Z
TXN00100,106.89,MW-88,2026-07-20T12:00:00Z
TXN00024,92.05,MW-88,2026-07-20T12:00:00Z
TXN00073,221.13,MW-88,2026-07-20T12:00:00Z
TXN00091,31.75,MW-88,2026-07-20T12:00:00Z
TXN00064,331.58,MW-88,2026-07-20T12:00:00Z
TXN00061,42.7,MW-88,2026-07-20T12:00:00Z
TXN00046,359.59,MW-88,2026-07-20T12:00:00Z
TXN00001,465.88,MW-88,2026-07-20T12:00:00Z
TXN00015,382.76,MW-88,2026-07-20T12:00:00Z
TXN00025,28.24,MW-88,2026-07-20T12:00:00Z
TXN00095,146.68,MW-88,2026-07-20T12:00:00Z
TXN00070,236.74,MW-88,2026-07-20T12:00:00Z
TXN00082,255.38,MW-88,2026-07-20T12:00:00Z
TXN00003,322.83,MW-88,2026-07-20T12:00:00Z
TXN00081,247.28,MW-88,2026-07-20T12:00:00Z
TXN00008,189.77,MW-88,2026-07-20T12:00:00Z
TXN00006,448.64,MW-88,2026-07-20T12:00:00Z
TXN00026,267.32,MW-88,2026-07-20T12:00:00Z
TXN00060,251.56,MW-88,2026-07-20T12:00:00Z
TXN00087,360.45,MW-88,2026-07-20T12:00:00Z
TXN00054,246.51,MW-88,2026-07-20T12:00:00Z
TXN00072,127.22,MW-88,2026-07-20T12:00:00Z
TXN00090,307.15,MW-88,2026-07-20T12:00:00Z
TXN00007,265.72,MW-88,2026-07-20T12:00:00Z
TXN00012,100.14,MW-88,2026-07-20T12:00:00Z
TXN00056,288.88,MW-88,2026-07-20T12:00:00Z
TXN00069,147.35,MW-88,2026-07-20T12:00:00Z
TXN00059,298.01,MW-88,2026-07-20T12:00:00Z
TXN00041,290.45,MW-88,2026-07-20T12:00:00Z
TXN00053,41.35,MW-88,2026-07-20T12:00:00Z
TXN00068,292.56,MW-88,2026-07-20T12:00:00Z
TXN00021,468.06,MW-88,2026-07-20T12:00:00Z
TXN00035,227.25,MW-88,2026-07-20T12:00:00Z
TXN00010,22.62,MW-88,2026-07-20T12:00:00Z
TXN00089,136.25,MW-88,2026-07-20T12:00:00Z
TXN00029,277.61,MW-88,2026-07-20T12:00:00Z
TXN00063,317.43,MW-88,2026-07-20T12:00:00Z
TXN00022,349.61,MW-88,2026-07-20T12:00:00Z
TXN00097,89.91,MW-88,2026-07-20T12:00:00Z
TXN00066,394.34,MW-88,2026-07-20T12:00:00Z
TXN00018,121.36,MW-88,2026-07-20T12:00:00Z
TXN00047,327.76,MW-88,2026-07-20T12:00:00Z
TXN00052,152.42,MW-88,2026-07-20T12:00:00Z
TXN00038,358.23,MW-88,2026-07-20T12:00:00Z
TXN00045,464.02,MW-88,2026-07-20T12:00:00Z
TXN00093,43.27,MW-88,2026-07-20T12:00:00Z
TXN00057,394.69,MW-88,2026-07-20T12:00:00Z
TXN00030,181.26,MW-88,2026-07-20T12:00:00Z
TXN00086,82.96,MW-88,2026-07-20T12:00:00Z
TXN00071,454.77,MW-88,2026-07-20T12:00:00Z
TXN00043,419.46,MW-88,2026-07-20T12:00:00Z
TXN00074,181.05,MW-88,2026-07-20T12:00:00Z
TXN00028,179.1,MW-88,2026-07-20T12:00:00Z
TXN00058,432.18,MW-88,2026-07-20T12:00:00Z
TXN00049,251.94,MW-88,2026-07-20T12:00:00Z
TXN00051,447.81,MW-88,2026-07-20T12:00:00Z
TXN00034,87.23,MW-88,2026-07-20T12:00:00Z
TXN00078,448.21,MW-88,2026-07-20T12:00:00Z
TXN00080,40.02,MW-88,2026-07-20T12:00:00Z
TXN00085,418.42,MW-88,2026-07-20T12:00:00Z
TXN00014,218.98,MW-88,2026-07-20T12:00:00Z
TXN00040,397.97,MW-88,2026-07-20T12:00:00Z
TXN00048,12.89,MW-88,2026-07-20T12:00:00Z
TXN00062,254.4,MW-88,2026-07-20T12:00:00Z
TXN00002,446.4,MW-88,2026-07-20T12:00:00Z
TXN00027,117.15,MW-88,2026-07-20T12:00:00Z
TXN00044,300.26,MW-88,2026-07-20T12:00:00Z
TXN00099,193.82,MW-88,2026-07-20T12:00:00Z
TXN00004,298.97,MW-88,2026-07-20T12:00:00Z
TXN00020,106.55,MW-88,2026-07-20T12:00:00Z
TXN00075,436.31,MW-88,2026-07-20T12:00:00Z
TXN00039,446.53,MW-88,2026-07-20T12:00:00Z
TXN00076,424.6,MW-88,2026-07-20T12:00:00Z
TXN00065,212.12,MW-88,2026-07-20T12:00:00Z
TXN00013,223.62,MW-88,2026-07-20T12:00:00Z
TXN00050,44.14,MW-88,2026-07-20T12:00:00Z
TXN00083,486.94,MW-88,2026-07-20T12:00:00Z
TXN00037,451.06,MW-88,2026-07-20T12:00:00Z
TXN00009,47.99,MW-88,2026-07-20T12:00:00Z
TXN00084,436.65,MW-88,2026-07-20T12:00:00Z
TXN00023,455.74,MW-88,2026-07-20T12:00:00Z
TXN00031,248.12,MW-88,2026-07-20T12:00:00Z
TXN00098,355.75,MW-88,2026-07-20T12:00:00Z
TXN00096,320.21,MW-88,2026-07-20T12:00:00Z
TXN00042,423.03,MW-88,2026-07-20T12:00:00Z
