id,text,link
1,Gmail,https://mail.google.com/mail/&ogbl
2,Gambar,https://www.google.com/imghp?hl=id&ogbl
3,,https://www.google.co.id/intl/id/about/products
4,Login,https://accounts.google.com/ServiceLogin?hl=id&passive=true&continue=https://www.google.com/&ec=GAZAmgQ
5,Penelusuran lanjutan,/advanced_search?hl=id&authuser=0
6,English,https://www.google.com/setprefs?sig=0_sdzlZNenlpU-PySxFXvqlGrDXjI%3D&hl=en&source=homepage&sa=X&ved=0ahUKEwj2k8bk0t-VAxWYTGwGHb5uG9gQ2ZgBCAU
7,,https://www.google.com/setprefs?sig=0_sdzlZNenlpU-PySxFXvqlGrDXjI%3D&hl=jv&source=homepage&sa=X&ved=0ahUKEwj2k8bk0t-VAxWYTGwGHb5uG9gQ2ZgBCAY
8,Basa Bali,https://www.google.com/setprefs?sig=0_sdzlZNenlpU-PySxFXvqlGrDXjI%3D&hl=ban&source=homepage&sa=X&ved=0ahUKEwj2k8bk0t-VAxWYTGwGHb5uG9gQ2ZgBCAc
9,Periklanan,/intl/id/ads/
10,Solusi Bisnis,http://www.google.co.id/intl/id/services/
11,Serba-serbi Google,/intl/id/about.html
12,Google.co.id,https://www.google.com/setprefdomain?prefdom=ID&prev=https://www.google.co.id/&sig=K_4sGZ84_YloWGBhGKyyqBRvUFGgM%3D
